Term	Direction	A549_FDR	Calu3_FDR	HepG2_FDR	U937_FDR	Lines_sig
antigen processing and presentation of endogenous peptide antigen	Up	8.12e-05	2.88e-02			2
response to stress	Up	8.25e-05	3.30e-04			2
biological process involved in interspecies interaction between organisms	Up	1.30e-04	3.77e-06			2
protein localization to chromosome, centromeric region	Down	1.63e-04	1.21e-11			2
regulation of megakaryocyte differentiation	Down	1.68e-04	3.20e-08			2
protein localization to chromatin	Down	2.04e-04	5.05e-12			2
protein-DNA complex organization	Down	2.49e-04	5.74e-26			2
antigen processing and presentation of endogenous antigen	Up	3.28e-04	3.71e-02			2
defense response to virus	Up	3.32e-04	1.52e-02			2
antigen processing and presentation of peptide antigen via MHC class Ib	Up	4.00e-04	1.33e-02			2
negative regulation of immune system process	Up	4.00e-04	2.17e-02			2
regulation of peptidase activity	Up	4.36e-04	1.43e-02			2
regulation of immune system process	Up	5.44e-04	1.35e-04			2
response to virus	Up	5.44e-04	2.47e-03			2
positive regulation of multicellular organismal process	Up	6.87e-04	1.89e-08			2
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	Down	7.96e-04	1.59e-03			2
innate immune response in mucosa	Down	9.07e-04	7.20e-06			2
regulation of cytokine production	Up	9.20e-04	1.49e-07			2
cytokine production	Up	1.10e-03	1.66e-07			2
positive regulation of cytokine production	Up	1.10e-03	1.05e-04			2
regulation of cell population proliferation	Up	1.27e-03	8.91e-07			2
antigen processing and presentation via MHC class Ib	Up	1.27e-03	1.91e-02			2
response to interferon-beta	Up	1.33e-03	7.65e-03			2
antigen processing and presentation of endogenous peptide antigen via MHC class Ib	Up	1.40e-03	1.15e-02			2
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	Up	1.40e-03	1.15e-02			2
regulation of response to external stimulus	Up	1.62e-03	7.65e-05			2
regulation of molecular function	Up	1.62e-03	4.15e-02			2
negative regulation of cell population proliferation	Up	1.90e-03	1.66e-03			2
negative regulation of peptidase activity	Up	2.47e-03	2.16e-02			2
response to peptide	Up	3.45e-03	1.75e-08			2
tissue development	Up	3.55e-03	9.46e-07			2
positive regulation of developmental process	Up	4.01e-03	5.12e-07			2
negative regulation of response to external stimulus	Up	4.42e-03	2.57e-03			2
response to cytokine	Up	4.56e-03	1.89e-08			2
regulation of defense response	Up	4.57e-03	2.26e-04			2
positive regulation of cellular process	Up	4.68e-03	1.31e-07			2
response to type I interferon	Up	4.69e-03	2.72e-02			2
megakaryocyte differentiation	Down	4.91e-03	7.20e-06			2
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	Up	6.16e-03	9.94e-03			2
regulation of multicellular organismal process	Up	6.22e-03	3.99e-08			2
regulation of cell migration	Up	6.32e-03	1.09e-04			2
regulation of proteolysis	Up	6.32e-03	8.77e-03			2
regulation of response to cytokine stimulus	Up	6.95e-03	1.60e-02			2
inflammatory response	Up	7.72e-03	1.12e-05			2
regulation of extrinsic apoptotic signaling pathway	Up	7.81e-03	2.56e-03			2
positive regulation of angiogenesis	Up	7.81e-03	8.59e-03			2
regulation of hydrolase activity	Up	7.81e-03	3.63e-02			2
mucosal immune response	Down	8.98e-03	1.53e-04			2
negative regulation of defense response	Up	9.26e-03	3.05e-03			2
positive regulation of vasculature development	Up	1.04e-02	9.27e-03			2
negative regulation of cell-cell adhesion	Up	1.09e-02	1.20e-03			2
cellular response to cytokine stimulus	Up	1.14e-02	3.89e-08			2
locomotion	Up	1.14e-02	1.73e-04			2
regulation of cell motility	Up	1.14e-02	2.83e-04			2
epidermis development	Up	1.14e-02	1.82e-02			2
cell migration	Up	1.37e-02	3.10e-06			2
cellular response to type I interferon	Up	1.42e-02	2.06e-02			2
negative regulation of proteolysis	Up	1.68e-02	3.27e-02			2
regulation of response to stress	Up	1.70e-02	3.83e-02			2
negative regulation of cell adhesion	Up	1.83e-02	5.26e-05			2
regulation of binding	Up	1.92e-02	4.19e-02			2
skin epidermis development	Up	2.03e-02	7.34e-03			2
organ or tissue specific immune response	Down	2.12e-02	2.99e-04			2
positive regulation of immune system process	Up	2.14e-02	4.33e-05			2
response to bacterium	Up	2.16e-02	2.79e-04			2
negative regulation of hydrolase activity	Up	2.17e-02	2.57e-02			2
regulation of cytokine-mediated signaling pathway	Up	2.19e-02	3.33e-02			2
defense response to bacterium	Up	2.29e-02	4.19e-02			2
regulation of protein processing	Up	2.51e-02	4.21e-02			2
skin development	Up	2.56e-02	4.92e-03			2
negative regulation of leukocyte cell-cell adhesion	Up	2.57e-02	8.76e-03			2
regulation of inflammatory response	Up	2.60e-02	2.18e-04			2
flavonoid metabolic process	Down	2.64e-02	4.34e-02			2
positive regulation of cell differentiation	Up	2.71e-02	5.22e-05			2
type I interferon-mediated signaling pathway	Up	3.06e-02	1.96e-02			2
regulation of locomotion	Up	3.31e-02	5.16e-04			2
interferon-mediated signaling pathway	Up	3.31e-02	4.91e-02			2
positive regulation of extrinsic apoptotic signaling pathway	Up	3.36e-02	3.65e-02			2
regulation of leukocyte migration	Up	3.51e-02	4.11e-03			2
positive regulation of inflammatory response	Up	3.51e-02	3.49e-02			2
positive regulation of immune response	Up	3.56e-02	5.84e-03			2
cell population proliferation	Up	3.68e-02	1.41e-06			2
positive regulation of cellular biosynthetic process	Up	3.68e-02	3.68e-05			2
positive regulation of macromolecule biosynthetic process	Up	3.68e-02	4.07e-05			2
T cell mediated immunity	Up	3.68e-02	8.91e-05			2
regulation of immune response	Up	3.68e-02	1.25e-02			2
regulation of response to biotic stimulus	Up	3.68e-02	3.66e-02			2
regulation of protein metabolic process	Up	3.68e-02	4.58e-02			2
extrinsic apoptotic signaling pathway	Up	4.00e-02	8.19e-04			2
response to lipid	Up	4.18e-02	4.12e-05			2
negative regulation of protein metabolic process	Up	4.32e-02	1.75e-02			2
regulation of angiogenesis	Up	4.41e-02	8.19e-04			2
acute-phase response	Up		2.01e-03		4.70e-02	2
