Description	NES_A549	NES_Calu-3	NES_HepG2	NES_U937	p.adjust_A549	p.adjust_Calu-3	p.adjust_HepG2	p.adjust_U937
mitotic cell cycle	3.21461210955699	1.97038291725921	NA	2.29504354973675	1.04536256323777e-09	6.64354322305229e-10	NA	1.2732421875e-09
spindle organization	3.21147009685834	1.52389286519618	NA	2.24436633218457	1.04536256323777e-09	0.00355512598890988	NA	1.2732421875e-09
ribosomal small subunit biogenesis	3.21074838650329	1.95138016043191	-1.65090505290342	2.01135924303117	1.04536256323777e-09	2.2944305070181e-05	0.00316119444815602	9.40363741692809e-06
mRNA metabolic process	3.17486764553885	2.15559261402933	-1.62861190455788	2.39672411406833	1.04536256323777e-09	6.64354322305229e-10	2.41587033351858e-07	1.2732421875e-09
cellular respiration	3.1683847143651	2.3761049308084	NA	1.9230281134824	1.04536256323777e-09	6.64354322305229e-10	NA	1.93386393665997e-08
mitotic cell cycle process	3.1569547274696	1.88097889185547	NA	2.35566225886225	1.04536256323777e-09	6.64354322305229e-10	NA	1.2732421875e-09
nuclear export	3.14899391945367	2.17179898953345	NA	2.33217946832086	1.04536256323777e-09	4.2204726374209e-08	NA	1.2732421875e-09
chromosome segregation	3.14588699903251	1.27605459987607	NA	2.24325868211404	1.04536256323777e-09	0.0281623220235299	NA	1.2732421875e-09
regulation of RNA splicing	3.1426121533453	2.06436965365369	-1.52231337837179	2.25974326661847	1.04536256323777e-09	3.87531522477634e-07	0.0124036992013948	1.2732421875e-09
mitochondrial translation	3.13893323626662	2.36459008307651	-1.44176775778187	2.1140986521615	1.04536256323777e-09	1.89325842076069e-09	0.0465199328054691	8.07171606467921e-08
chaperone-mediated protein folding	3.13588519568346	2.438370447694	-2.10786759006189	1.92513552561453	1.04536256323777e-09	4.43422786667744e-08	1.69696426996499e-05	9.78388532877674e-05
nucleoside triphosphate biosynthetic process	3.13100674101436	2.19819452257861	NA	1.9145317745314	1.04536256323777e-09	2.3165247346839e-07	NA	3.18197230083044e-05
DNA-templated DNA replication	3.12176751895001	NA	NA	2.16500148166169	1.04536256323777e-09	NA	NA	1.53888643086882e-09
purine nucleoside triphosphate biosynthetic process	3.10884035201744	2.15337166649015	NA	1.89091550809022	1.04536256323777e-09	9.6509135183349e-07	NA	4.22765550864674e-05
oxidative phosphorylation	3.10721023631216	2.25503945456809	NA	1.86268568494502	1.04536256323777e-09	2.31555117686877e-08	NA	2.89694248602619e-05
mitotic spindle organization	3.0943841673104	1.69511162280601	NA	2.24685256539515	1.04536256323777e-09	0.00108049007019989	NA	1.2732421875e-09
DNA repair	3.09404740170681	1.28668594140393	NA	2.24603885561186	1.04536256323777e-09	0.00744717020468865	NA	1.2732421875e-09
ribonucleoside triphosphate biosynthetic process	3.0895472695944	2.19307819552703	NA	1.91651969508651	1.04536256323777e-09	4.91376582250433e-07	NA	5.02582551675321e-05
purine ribonucleoside triphosphate biosynthetic process	3.08704825033875	2.14124289017061	NA	1.88515801732423	1.04536256323777e-09	1.53594296054293e-06	NA	0.000108214744814677
regulation of mRNA processing	3.07651527804368	2.16773179994819	NA	2.24712395338645	1.04536256323777e-09	4.67768387592819e-07	NA	1.50988799482342e-09
DNA damage response	3.06806285088134	1.83937182254226	NA	2.23390589556498	1.04536256323777e-09	6.64354322305229e-10	NA	1.2732421875e-09
DNA biosynthetic process	3.06779220309728	1.4682849993804	-1.42976088212575	1.88356835284719	1.04536256323777e-09	0.0120235266503082	0.0261799041029876	1.37363603702843e-06
mitochondrial respirasome assembly	3.0675018901196	1.89318513060312	NA	1.95549345248272	1.04536256323777e-09	7.31316187990334e-05	NA	2.4762570693428e-05
ribose phosphate biosynthetic process	3.05859062305703	2.27218289359271	NA	1.88052695428253	1.04536256323777e-09	2.89103326343465e-09	NA	1.51590289303599e-06
ATP synthesis coupled electron transport	3.05797544438935	2.20343098310145	NA	1.83169251002258	1.04536256323777e-09	8.26670390099397e-07	NA	0.000440791487230076
mitochondrial ATP synthesis coupled electron transport	3.05797544438935	2.20343098310145	NA	1.83169251002258	1.04536256323777e-09	8.26670390099397e-07	NA	0.000440791487230076
microtubule cytoskeleton organization involved in mitosis	3.05610457485294	1.79699423167791	-1.52542205220258	2.31010003589844	1.04536256323777e-09	0.000129732939883734	0.0111421490853448	1.2732421875e-09
spindle assembly	3.05459222711908	NA	NA	2.16795777646928	1.04536256323777e-09	NA	NA	1.38453153677333e-08
telomere maintenance	3.05179317526704	1.47795940982841	-1.42618303188748	2.15949410900935	1.04536256323777e-09	0.0147130915994107	0.0405955809868549	1.858082616675e-09
mitochondrial gene expression	3.04428048485767	2.47602960405955	-1.40774098084587	2.2190400696913	1.04536256323777e-09	6.64354322305229e-10	0.0492794048236801	1.2732421875e-09
DNA metabolic process	3.04351238883553	1.61097769376657	NA	2.18764881194552	1.04536256323777e-09	1.06816580761918e-08	NA	1.2732421875e-09
protein maturation	3.03936488625129	2.68218509817166	-1.82701235505701	1.8066831358757	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
positive regulation of chromosome organization	3.03407940770731	1.52307018367448	NA	2.27650690942487	1.04536256323777e-09	0.0161190824127193	NA	1.2732421875e-09
purine ribonucleotide biosynthetic process	3.03138564374171	2.24548718029362	NA	1.7993472131315	1.04536256323777e-09	2.8639636396114e-08	NA	0.000124636903144283
ATP biosynthetic process	3.02621975177016	2.14914632845054	NA	1.91381418628086	1.04536256323777e-09	1.70911260079399e-06	NA	0.000127574439771281
ribonucleotide biosynthetic process	3.02596335322503	2.24092253413359	NA	1.86675393257387	1.04536256323777e-09	9.59861677265737e-09	NA	1.83242325250939e-05
nuclear chromosome segregation	3.01736113123016	NA	NA	2.14205560372045	1.04536256323777e-09	NA	NA	1.2732421875e-09
cell cycle phase transition	3.01172145876406	1.73773327052094	NA	2.26361292458131	1.04536256323777e-09	5.93426441186314e-08	NA	1.2732421875e-09
cell division	3.00721846148208	1.75643352081265	-1.28167975371125	2.18159621549763	1.04536256323777e-09	4.18971383839155e-09	0.0308940448840494	1.2732421875e-09
proton motive force-driven mitochondrial ATP synthesis	2.99037264202855	2.18052818850578	NA	1.87071634258903	1.04536256323777e-09	8.01820758299215e-06	NA	0.00052145617591121
nucleoside triphosphate metabolic process	2.98910133092242	2.25065450547924	-1.40246573587239	1.88287328041074	1.04536256323777e-09	6.64354322305229e-10	0.0128977462867035	1.0909787501581e-07
electron transport chain	2.96905717435126	2.36871046820804	NA	1.78045669955765	1.04536256323777e-09	4.14480699887925e-09	NA	0.000238500477035305
mitochondrion organization	2.95664133883027	2.59437286157089	-1.533570235673	2.03650400873798	1.04536256323777e-09	6.64354322305229e-10	0.00035069351121401	1.2732421875e-09
mitotic spindle assembly	2.95465095704701	NA	NA	2.15275486315556	1.04536256323777e-09	NA	NA	2.07944469637234e-06
regulation of DNA repair	2.94730558972483	1.86467349286556	NA	2.24946844555523	1.04536256323777e-09	1.27598024353029e-05	NA	1.2732421875e-09
DNA geometric change	2.94669217740079	NA	NA	2.15562353866475	1.04536256323777e-09	NA	NA	1.0629569507075e-06
regulation of mRNA splicing, via spliceosome	2.94282699093046	1.9845111095379	NA	2.18207237000987	1.04536256323777e-09	5.4945361855364e-05	NA	5.90776488560922e-08
positive regulation of DNA metabolic process	2.94211806299807	1.9505818461273	NA	2.23997423332772	1.04536256323777e-09	1.72654054596583e-07	NA	1.2732421875e-09
aerobic electron transport chain	2.93829039149352	2.16502067222757	NA	1.87231107587779	1.04536256323777e-09	3.06000897027118e-06	NA	0.000122340885659986
proton motive force-driven ATP synthesis	2.93128625525698	2.14186626695397	NA	1.87058477231215	1.04536256323777e-09	1.62342611683181e-05	NA	0.000327293433981987
regulation of cell cycle	2.92945217148722	1.9851171544196	-1.24958597555453	2.10754581186342	1.04536256323777e-09	6.64354322305229e-10	0.0156534118130435	1.2732421875e-09
regulation of DNA metabolic process	2.9263031888778	1.77329825533761	NA	2.26674510946779	1.04536256323777e-09	1.06833656167089e-07	NA	1.2732421875e-09
purine nucleoside triphosphate metabolic process	2.92229923689355	2.20076643344898	-1.45559295434759	1.88532104023228	1.04536256323777e-09	6.64354322305229e-10	0.012491252114547	1.04919531506529e-07
DNA conformation change	2.92177569202734	NA	NA	2.19686831617599	1.04536256323777e-09	NA	NA	1.21843214340862e-07
DNA-templated transcription elongation	2.91974634901682	2.10288813822505	-1.44715126073688	2.32821389718163	1.04536256323777e-09	7.01636686334709e-07	0.0334426812433123	1.2732421875e-09
multivesicular body sorting pathway	2.91875894029815	2.27785457237894	-1.72143335756513	1.79640399082224	1.04536256323777e-09	3.69594610086039e-06	0.0115101371944374	0.0023156786869638
nucleoside phosphate biosynthetic process	2.91738728619592	2.39124110611756	NA	1.93857947073801	1.04536256323777e-09	6.64354322305229e-10	NA	1.2732421875e-09
mitochondrial respiratory chain complex assembly	2.91619350081987	1.96191591382378	NA	2.08401050821559	1.04536256323777e-09	7.74756569036319e-05	NA	1.03466599577654e-06
respiratory electron transport chain	2.91242445290572	2.34984538878741	NA	1.90353019537938	1.04536256323777e-09	7.12359701034296e-09	NA	3.20199073390331e-05
RNA localization	2.90361641332784	2.09589552065666	NA	2.34106560991852	1.04536256323777e-09	5.59880516683096e-08	NA	1.2732421875e-09
DNA duplex unwinding	2.90207755840221	NA	NA	2.12893967310624	1.04536256323777e-09	NA	NA	3.43627404641067e-06
mitotic cell cycle phase transition	2.9002395684715	1.73588785061482	NA	2.32670479072951	1.04536256323777e-09	5.35945611700973e-07	NA	1.2732421875e-09
regulation of cell cycle phase transition	2.89225880247769	1.61404296464444	NA	2.24565652724802	1.04536256323777e-09	4.49125725060138e-05	NA	1.2732421875e-09
endosome transport via multivesicular body sorting pathway	2.89218736418975	2.44974878525554	-1.73504375288833	1.69136374764016	1.04536256323777e-09	1.31885805213026e-06	0.0167263782018565	0.00666407933463596
apoptotic signaling pathway	2.8911812737847	2.88882562682041	-1.77176404168797	1.79564625927263	1.04536256323777e-09	6.64354322305229e-10	5.12152092076083e-09	1.2732421875e-09
ribosome assembly	2.88975143440527	1.77774948208267	NA	1.68305372162605	1.04536256323777e-09	0.00195792432291264	NA	0.00796881122041393
nucleotide biosynthetic process	2.8870530920795	2.15259699919822	NA	1.74605130532125	1.04536256323777e-09	6.7063908411702e-09	NA	5.88811431133829e-05
protein localization to mitochondrion	2.88687894483111	2.56407505134006	-1.53051260381545	1.86962743475969	1.04536256323777e-09	6.64354322305229e-10	0.0145781253289301	5.68022397289884e-05
regulation of telomere maintenance	2.88624406959786	1.7938251802111	-1.50752952355287	2.22934324799674	1.04536256323777e-09	0.000523860538011963	0.0276162793159332	6.53327691088367e-09
regulation of transferase activity	2.88389534539208	2.48416791815411	-1.68535334233482	1.67618022648335	1.04536256323777e-09	6.64354322305229e-10	3.43683776391917e-06	7.66096920716325e-08
ribonucleoside triphosphate metabolic process	2.88300375039126	2.18983169114902	-1.44742794611533	1.88576193570596	1.04536256323777e-09	6.64354322305229e-10	0.0168863360576022	1.93396425791279e-07
nuclear division	2.88202499722762	NA	NA	1.92407520674529	1.04536256323777e-09	NA	NA	1.2732421875e-09
non-membrane-bounded organelle assembly	2.87880478532964	1.59258402045069	-1.31197758951595	2.00380927461813	1.04536256323777e-09	5.81759751533167e-05	0.0309379135482048	1.2732421875e-09
regulation of cell cycle process	2.87760388784688	1.65928002699225	NA	2.16588413254127	1.04536256323777e-09	8.59579025827695e-08	NA	1.2732421875e-09
protein-RNA complex organization	2.87694776962216	NA	-1.8989561274322	2.18176797714142	1.04536256323777e-09	NA	1.7287150398665e-06	1.2732421875e-09
purine ribonucleoside triphosphate metabolic process	2.87102750373069	2.15884709965022	-1.48271116432053	1.87829960033719	1.04536256323777e-09	2.56060087538711e-09	0.0104039421245583	2.93027779891252e-07
regulation of mRNA metabolic process	2.86752282591057	2.26533852513122	-1.29830377438462	2.23269586424688	1.04536256323777e-09	6.64354322305229e-10	0.0409722042333992	1.2732421875e-09
cell cycle checkpoint signaling	2.86376061884725	NA	NA	2.12537599020657	1.04536256323777e-09	NA	NA	1.2732421875e-09
apoptotic mitochondrial changes	2.86126443323417	2.77493925526093	-1.71053847678637	1.56740248064128	1.04536256323777e-09	6.64354322305229e-10	0.00479553287334967	0.0106988292644482
ATP metabolic process	2.85932848977503	2.13255607060675	-1.36878963525604	1.87823765613573	1.04536256323777e-09	1.41029824567058e-08	0.033132071840456	9.08745191573811e-07
positive regulation of organelle organization	2.85849196803521	2.42644908776296	-1.74166165391168	1.96997520032794	1.04536256323777e-09	6.64354322305229e-10	3.31380628809404e-07	1.2732421875e-09
translational initiation	2.85762247198419	2.482927929146	-1.44015608003584	2.11393110587787	1.04536256323777e-09	6.64354322305229e-10	0.0336885033935047	2.71460210360222e-07
regulation of mitotic cell cycle phase transition	2.85663385151345	1.55702432258415	NA	2.31290576248025	1.04536256323777e-09	0.000495801250751936	NA	1.2732421875e-09
energy derivation by oxidation of organic compounds	2.85662914949195	2.49426584551559	NA	1.87586210255557	1.04536256323777e-09	6.64354322305229e-10	NA	7.99322317010307e-09
regulation of mitotic cell cycle	2.8563940282853	1.84548310205154	NA	2.22079886444102	1.04536256323777e-09	5.07610285553653e-09	NA	1.2732421875e-09
RNA export from nucleus	2.85585945782267	1.94293985451252	NA	2.27498862246334	1.04536256323777e-09	8.72482453875259e-05	NA	6.70503260071585e-09
intrinsic apoptotic signaling pathway	2.85560649242568	2.65599857013359	-1.74827166891602	1.73745806340515	1.04536256323777e-09	6.64354322305229e-10	2.03499831266839e-05	1.82686139350739e-06
regulation of cellular response to stress	2.85397695154075	2.4858327988965	-1.76005050978548	2.12607591393351	1.04536256323777e-09	6.64354322305229e-10	1.86477043533005e-08	1.2732421875e-09
response to virus	2.85298271069387	2.88521395762838	NA	1.71759526736453	1.04536256323777e-09	6.64354322305229e-10	NA	3.29581487058808e-07
positive regulation of telomere maintenance	2.85120993018682	1.76931588289382	-1.52615589175859	2.16667055845937	1.04536256323777e-09	0.00266284479197937	0.0318381600103847	1.37966735796073e-06
chromosome organization	2.84259352733829	NA	NA	2.26843712493834	1.04536256323777e-09	NA	NA	1.2732421875e-09
negative regulation of cell cycle phase transition	2.84186385413986	1.25716468157753	NA	2.13541262593265	1.04536256323777e-09	0.0409926018123399	NA	1.2732421875e-09
metaphase/anaphase transition of cell cycle	2.84166889724502	NA	NA	2.20419607606164	1.04536256323777e-09	NA	NA	1.14422734479522e-07
protein catabolic process	2.83872135600402	2.95319289990555	-1.91638823825593	2.05121773412194	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
proteolysis involved in protein catabolic process	2.83661807426684	2.89948775807657	-1.77904119233681	2.04211526252687	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
establishment of protein localization to mitochondrion	2.83615149449709	2.54132949540714	-1.53243416332574	1.8550617221118	1.04536256323777e-09	6.64354322305229e-10	0.0124094578611374	6.03966842119844e-05
maturation of SSU-rRNA	2.83504979442481	1.82808122787892	-1.5540055880202	1.96311182983915	1.04536256323777e-09	0.00222747563415663	0.0346993580724637	7.90116573412765e-05
regulation of spindle organization	2.83329567549091	1.65191264654128	-1.57111843487846	1.90940833068049	1.04536256323777e-09	0.0148640097107499	0.0358581503885315	0.000240141711467505
defense response to virus	2.83226430694117	2.8387088276625	-1.34480254417143	1.55248696141868	1.04536256323777e-09	6.64354322305229e-10	0.0410938582211674	0.000752779445715597
metaphase/anaphase transition of mitotic cell cycle	2.83066033300118	NA	NA	2.23839702923738	1.04536256323777e-09	NA	NA	2.02564782926491e-08
proteasomal protein catabolic process	2.82748667136999	2.81142759765957	-1.7171197284423	2.08759005234567	1.04536256323777e-09	6.64354322305229e-10	2.85844080236227e-08	1.2732421875e-09
proton transmembrane transport	2.82623768971856	2.14971334900757	NA	1.80666735914433	1.04536256323777e-09	2.98589165526938e-08	NA	1.17529056516521e-05
modification-dependent protein catabolic process	2.82513247153117	2.80152613382513	-1.74728333473793	2.05235684596294	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
protein-RNA complex assembly	2.82114969330664	NA	-1.79917705610581	2.1812705126573	1.04536256323777e-09	NA	8.19769884587983e-06	1.2732421875e-09
modification-dependent macromolecule catabolic process	2.81298519195725	2.79821823541377	-1.73443866899964	2.05962821123252	1.04536256323777e-09	6.64354322305229e-10	5.12152092076083e-09	1.2732421875e-09
generation of precursor metabolites and energy	2.81244521272379	2.54406136376906	-1.31633657112728	1.85179478385305	1.04536256323777e-09	6.64354322305229e-10	0.0212387717009216	1.2732421875e-09
organelle fission	2.81121783885129	NA	NA	1.92268916022007	1.04536256323777e-09	NA	NA	1.2732421875e-09
'de novo' protein folding	2.80984358121772	2.10581745402655	-2.19377166655243	1.77583830356104	1.04536256323777e-09	8.12371346409733e-05	1.15979726295253e-05	0.00318786723809012
regulation of mitotic nuclear division	2.80640799712502	NA	NA	2.0157142887852	1.04536256323777e-09	NA	NA	2.42792833571214e-06
ubiquitin-dependent protein catabolic process	2.80605503888812	2.79494886829068	-1.73643157494608	2.05586989917746	1.04536256323777e-09	6.64354322305229e-10	6.37173296756867e-09	1.2732421875e-09
cytokinetic process	2.80265552092049	1.9456202870012	NA	1.86918849899054	1.04536256323777e-09	0.000594892115273918	NA	0.00096547194304025
transcription elongation by RNA polymerase II	2.80096796308887	2.01265106058895	-1.45566198897268	2.29799264087951	1.04536256323777e-09	1.00152510791522e-05	0.0382608785783408	1.2732421875e-09
regulation of mitotic metaphase/anaphase transition	2.80055666122874	NA	NA	2.2124850741386	1.04536256323777e-09	NA	NA	5.0101664758699e-08
protein targeting to mitochondrion	2.79377872451709	2.37976801463928	NA	1.84161133209311	1.04536256323777e-09	1.07926188862085e-08	NA	0.000235957899116131
purine nucleotide biosynthetic process	2.79319108454841	2.07345299405556	NA	1.68382867368175	1.04536256323777e-09	1.13346729748035e-07	NA	0.00042813143204913
negative regulation of cell cycle process	2.79255068507521	1.31380341831074	NA	2.11339475685042	1.04536256323777e-09	0.0222818587195086	NA	1.2732421875e-09
regulation of viral process	2.77809132893838	2.63444627395905	NA	1.71125862785184	1.04536256323777e-09	6.64354322305229e-10	NA	0.000262514817388956
double-strand break repair	2.7757593722075	NA	NA	2.22642213034936	1.04536256323777e-09	NA	NA	1.2732421875e-09
maintenance of protein location	2.7757572256713	1.90439803267671	-1.65700077001784	1.76325939594335	1.04536256323777e-09	0.000310909435113549	0.00588708321662254	0.00102117296887777
regulation of chromosome segregation	2.77429008085618	NA	NA	2.27412459626793	1.04536256323777e-09	NA	NA	1.2732421875e-09
viral process	2.77333326746907	3.06963251531134	-1.75655764260069	1.94457613499033	1.04536256323777e-09	6.64354322305229e-10	7.85927286470636e-07	1.2732421875e-09
regulation of metaphase/anaphase transition of cell cycle	2.76742319757341	NA	NA	2.17222850026828	1.04536256323777e-09	NA	NA	1.12783120274335e-07
regulation of sister chromatid segregation	2.76408741028564	NA	NA	2.21717518297885	1.04536256323777e-09	NA	NA	1.27017866617405e-08
metaphase chromosome alignment	2.76320074261767	NA	NA	2.05429612521007	1.04536256323777e-09	NA	NA	2.12587153656679e-06
mitotic metaphase chromosome alignment	2.76040826692411	1.49065138630842	NA	1.96178979892129	1.04536256323777e-09	0.0297870367930771	NA	0.000121515044152833
negative regulation of cell cycle	2.76039262320145	1.52754909769885	NA	2.04870647933258	1.04536256323777e-09	0.000407523540825671	NA	1.2732421875e-09
positive regulation of translation	2.75932081418782	2.41258086567085	-1.71230075051626	1.96917513276052	1.04536256323777e-09	1.13863225449826e-09	0.000930751831804727	4.03357361251767e-06
regulation of DNA replication	2.75928241993371	NA	NA	2.15374666565221	1.04536256323777e-09	NA	NA	2.74784332981944e-08
mitochondrial transport	2.75912717036226	2.70802616395192	NA	1.77584944469727	1.04536256323777e-09	6.64354322305229e-10	NA	4.64072389032934e-05
chromosome separation	2.75737322454044	NA	NA	2.16471782072273	1.04536256323777e-09	NA	NA	2.19573318034671e-07
regulation of chromosome separation	2.75706530363189	NA	NA	2.12152209676498	1.04536256323777e-09	NA	NA	1.5001790105514e-06
mitotic sister chromatid separation	2.7560362711998	NA	NA	2.05354714381839	1.04536256323777e-09	NA	NA	1.51410960818217e-05
regulation of DNA biosynthetic process	2.75412716675833	1.60998221991659	NA	1.83574066529648	1.04536256323777e-09	0.00747202089163725	NA	0.000281910232172954
regulation of intrinsic apoptotic signaling pathway	2.75167142850162	2.40489752061915	-1.67856173178396	1.47409412309099	1.04536256323777e-09	6.64354322305229e-10	0.00140626856936263	0.0126756297241303
negative regulation of response to biotic stimulus	2.75090274379769	2.33075045171149	NA	1.81224069374699	1.04536256323777e-09	1.37629643793014e-08	NA	0.000234964113155593
negative regulation of chromosome organization	2.75073523226436	NA	NA	2.27103983404476	1.04536256323777e-09	NA	NA	1.06486578642725e-08
ribosomal large subunit biogenesis	2.74715722215084	1.99455220743448	-1.76036566901292	1.78594591721839	1.04536256323777e-09	0.000181795604746064	0.0027096902994188	0.00165886551133531
regulation of type I interferon production	2.74257263057387	2.16019963202697	NA	2.06816560239487	1.04536256323777e-09	8.48520207308528e-07	NA	2.03316497159912e-07
type I interferon production	2.74257263057387	2.16019963202697	NA	2.06816560239487	1.04536256323777e-09	8.48520207308528e-07	NA	2.03316497159912e-07
mRNA export from nucleus	2.74255196772224	1.83303757635941	NA	2.18781971857153	1.04536256323777e-09	0.000834795641583926	NA	1.00942151716503e-06
nucleocytoplasmic transport	2.74067758695383	2.36179298540524	NA	2.28626428510249	1.04536256323777e-09	6.64354322305229e-10	NA	1.2732421875e-09
nuclear transport	2.74067758695383	2.36179298540524	NA	2.28626428510249	1.04536256323777e-09	6.64354322305229e-10	NA	1.2732421875e-09
regulation of apoptotic signaling pathway	2.73867410207892	2.70583034255076	-1.713072064571	1.66860525813509	1.04536256323777e-09	6.64354322305229e-10	1.09343250822632e-05	4.25581566592896e-06
mitochondrial membrane organization	2.73623413137905	2.64688327986593	-1.49899296481936	1.90487063673628	1.04536256323777e-09	6.64354322305229e-10	0.0345631616875385	3.94165592701812e-05
regulation of mitotic sister chromatid separation	2.73508185397379	NA	NA	2.03093180797912	1.04536256323777e-09	NA	NA	3.20199073390331e-05
response to type I interferon	2.7311621767281	2.7273726896273	-1.62006457046005	1.52841711728868	1.04536256323777e-09	6.64354322305229e-10	0.020340364743596	0.0257429048431497
regulation of protein kinase activity	2.7284541881361	2.55480608556631	-1.72080972164249	1.7018527421332	1.04536256323777e-09	6.64354322305229e-10	6.34537017267505e-06	2.02331391525121e-06
regulation of intracellular transport	2.722901399109	2.4033579951751	-1.62773611433698	2.13795621568222	1.04536256323777e-09	6.64354322305229e-10	0.000613239102407006	1.2732421875e-09
purine-containing compound biosynthetic process	2.72087061587312	2.26011185625199	NA	1.88708365083082	1.04536256323777e-09	6.64354322305229e-10	NA	1.95247619058121e-07
response to heat	2.709353912528	1.71557886503924	-1.74611718072559	1.85469471143438	1.04536256323777e-09	0.00257107307667305	0.00212890783866302	0.000302264556764317
recombinational repair	2.70562158477849	NA	NA	2.14069680502653	1.04536256323777e-09	NA	NA	1.2732421875e-09
RNA processing	2.70366701867575	1.20460984398247	-1.6792520462708	2.30148941040805	1.04536256323777e-09	0.0127432394088589	2.40967741935484e-09	1.2732421875e-09
detection of chemical stimulus involved in sensory perception	-2.70288529779485	-2.94275284678117	1.73043280361717	-2.14125221986404	1.04536256323777e-09	6.64354322305229e-10	0.00183920365883371	4.9375706510788e-09
regulation of protein modification by small protein conjugation or removal	2.70237482600745	2.40300719979632	-1.86668313333617	1.89099814150453	1.04536256323777e-09	6.64354322305229e-10	1.08034392939797e-06	6.70951092130431e-08
regulation of G1/S transition of mitotic cell cycle	2.70014179251983	1.96375283387798	NA	2.1148424523943	1.04536256323777e-09	6.69590329226879e-06	NA	1.22653317917993e-08
regulation of kinase activity	2.69975470913545	2.51711240246741	-1.72723257126975	1.71922341061271	1.04536256323777e-09	6.64354322305229e-10	2.68233335384566e-06	7.15659603387442e-08
detection of chemical stimulus involved in sensory perception of smell	-2.69558712688304	-2.88368299387999	1.89819408717971	-2.25191343172316	1.04536256323777e-09	6.64354322305229e-10	0.00245199465404422	7.55968197961292e-09
regulation of translation	2.69478429087861	2.69964945174408	-1.52094843991791	2.19056200665409	1.04536256323777e-09	6.64354322305229e-10	0.000993686538018015	1.2732421875e-09
regulation of protein catabolic process	2.69414662675169	2.71470829915753	-1.83822014861827	2.01663762749931	1.04536256323777e-09	6.64354322305229e-10	9.13024936124383e-08	1.2732421875e-09
proteasome-mediated ubiquitin-dependent protein catabolic process	2.69364984693309	2.68210407285714	-1.67480724223085	2.11697948311474	1.04536256323777e-09	6.64354322305229e-10	3.50217928444855e-06	1.2732421875e-09
